player,position,age,squad,minutes,starts,goals,assists,xg,xa,xgi_per90,value_m,total_points
Kai Havertz,MID,25,1,2627,30,13,10,12.36,3.88,0.55,7.6,180
Jakub Kiwior,DEF,24,1,942,11,1,3,0.74,0.6,0.13,4.0,67
Gabriel Martinelli Silva,MID,23,1,2010,24,6,5,6.36,5.18,0.51,7.5,118
Eddie Nketiah,FWD,25,1,1065,10,5,4,4.65,0.53,0.43,5.0,71
Martin Ødegaard,MID,25,1,3098,35,8,11,7.53,10.16,0.52,8.6,186
Thomas Partey,MID,31,1,785,9,0,0,0.43,0.58,0.12,4.8,24
Aaron Ramsdale,GK,26,1,540,6,0,0,0.0,0.01,0.0,4.5,20
Bukayo Saka,MID,22,1,2922,35,16,12,15.4,10.9,0.81,8.8,226
William Saliba,DEF,23,1,3420,38,2,1,1.7,0.9,0.06,5.9,164
Takehiro Tomiyasu,DEF,25,1,1140,10,2,1,1.74,0.68,0.19,4.5,70
Leandro Trossard,MID,30,1,1633,18,12,2,8.29,2.96,0.62,6.6,138
Oleksandr Zinchenko,DEF,27,1,1717,20,1,2,0.6,2.65,0.17,5.0,104
Declan Rice,MID,25,1,3225,37,7,9,3.53,5.09,0.24,5.5,165
Leon Bailey,MID,26,2,2063,22,10,11,6.29,7.17,0.58,5.4,148
Matty Cash,DEF,27,2,2138,23,2,2,4.41,2.47,0.29,4.5,64
Lucas Digne,DEF,31,2,2405,27,1,4,0.99,3.49,0.17,4.6,85
Boubacar Kamara,MID,24,2,1653,20,0,1,0.13,1.39,0.09,5.0,40
Jacob Ramsey,MID,23,2,848,8,1,1,2.09,1.38,0.37,5.9,29
Youri Tielemans,MID,27,2,1613,17,2,6,1.24,1.98,0.18,5.6,77
Ollie Watkins,FWD,28,2,3222,37,19,18,16.74,4.02,0.58,8.9,228
Clément Lenglet,DEF,29,2,1153,14,0,1,0.81,0.52,0.1,4.5,24
Philip Billing,MID,28,3,1385,13,2,3,2.53,2.11,0.3,5.1,60
Lewis Cook,MID,27,3,2787,32,0,3,0.42,2.92,0.1,4.8,77
Lloyd Kelly,DEF,25,3,1553,17,0,1,0.34,0.77,0.06,4.5,48
Chris Mepham,DEF,27,3,613,6,0,1,0.09,0.17,0.03,4.3,16
Dango Ouattara,MID,22,3,1214,12,1,2,2.65,1.1,0.28,4.7,56
Antoine Semenyo,FWD,25,3,2099,25,8,4,4.69,2.19,0.29,4.5,107
Marcos Senesi,DEF,27,3,2239,26,4,5,1.98,2.27,0.17,4.4,102
Adam Smith,DEF,31,3,2148,25,0,3,0.05,1.5,0.06,4.4,80
Dominic Solanke,FWD,27,3,3325,37,19,3,19.64,2.11,0.59,6.9,175
Marcus Tavernier,MID,25,3,2118,25,3,4,3.88,4.24,0.34,5.0,89
Illia Zabarnyi,DEF,22,3,3330,37,1,0,1.13,0.55,0.04,4.4,84
Luis Sinisterra,MID,25,3,685,7,2,2,2.62,1.03,0.48,5.5,43
Kristoffer Ajer,DEF,26,4,1826,21,2,1,1.22,2.68,0.19,4.4,68
Nathan Collins,DEF,23,4,2649,29,1,1,1.59,0.95,0.08,4.5,84
